energy,tempo,danceability,loudness,valence,speechiness,instrumentalness,acousticness,liveness,duration_ms,track_name,track_artist,playlist_genre,playlist_subgenre,track_popularity,popular,genre_group
0.913,115.728,0.574,-4.793,0.423,0.133,0.00158,0.061,0.156,208400.0,Highway to Hell,AC/DC,rock,classic,84,1,rock
0.495,124.936,0.532,-6.662,0.308,0.0343,0.0,0.659,0.0754,214240.0,Vienna,Billy Joel,rock,classic,79,1,rock
0.875,75.009,0.284,-6.069,0.595,0.0422,0.000461,0.00752,0.402,340907.0,Alive,Pearl Jam,rock,classic,73,1,rock
0.737,103.867,0.662,-9.54,0.744,0.0296,0.0191,0.108,0.119,329800.0,The Best,Tina Turner,rock,classic,69,1,rock
0.936,91.577,0.666,-9.919,0.776,0.0476,0.086,0.00244,0.153,282907.0,Give It Away,Red Hot Chili Peppers,rock,classic,72,1,rock
0.432,94.605,0.475,-7.844,0.648,0.0302,0.0,0.183,0.161,153467.0,Good Riddance (Time of Your Life),Green Day,rock,classic,79,1,rock
0.549,176.941,0.516,-13.741,0.907,0.0373,0.00572,0.501,0.184,288733.0,The Boys Of Summer,Don Henley,rock,classic,73,1,rock
0.751,89.839,0.421,-9.584,0.789,0.0472,0.0,0.2,0.17,145867.0,Break on Through (To the Other Side),The Doors,rock,classic,72,1,rock
0.938,168.131,0.324,-7.332,0.543,0.102,0.0321,0.032,0.0961,178440.0,Sabotage,Beastie Boys,rock,classic,71,1,rock
0.953,84.989,0.267,-4.899,0.568,0.096,0.0,0.00211,0.283,267307.0,Pour Some Sugar On Me - Remastered 2017,Def Leppard,rock,classic,72,1,rock
0.919,135.997,0.465,-4.025,0.537,0.0408,2.07e-05,1.83e-05,0.262,235293.0,Learn to Fly,Foo Fighters,rock,classic,73,1,rock
0.58,127.402,0.741,-9.05,0.944,0.0304,3.61e-05,0.117,0.212,171267.0,Hit Me With Your Best Shot,Pat Benatar,rock,classic,70,1,rock
0.72,121.864,0.404,-9.18,0.475,0.0623,0.836,5.59e-05,0.0466,258467.0,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,rock,classic,73,1,rock
0.927,170.814,0.215,-7.327,0.49,0.0452,0.00661,0.000273,0.126,194853.0,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,rock,classic,72,1,rock
0.801,133.769,0.651,-7.34,0.776,0.0514,0.0,0.123,0.0825,200480.0,London Calling - Remastered,The Clash,rock,classic,70,1,rock
0.262,122.861,0.481,-15.73,0.375,0.0414,0.0114,0.735,0.832,334744.0,Wish You Were Here,Pink Floyd,rock,classic,75,1,rock
0.449,84.383,0.623,-13.333,0.573,0.0253,0.0,0.212,0.0613,256000.0,Free Fallin',Tom Petty,rock,classic,75,1,rock
0.476,148.117,0.389,-9.342,0.566,0.0316,5.09e-05,0.619,0.255,217107.0,No Rain,Blind Melon,rock,classic,73,1,rock
0.978,141.167,0.526,-5.436,0.451,0.108,4.75e-05,0.00122,0.0744,210227.0,Panama - 2015 Remaster,Van Halen,rock,classic,72,1,rock
0.842,100.127,0.297,-7.457,0.586,0.0488,9.1e-06,0.000286,0.0848,206773.0,Would? (2022 Remaster),Alice In Chains,rock,classic,72,1,rock
0.944,146.347,0.27,-4.199,0.606,0.0975,2.05e-05,0.00501,0.116,269920.0,Born to Run,Bruce Springsteen,rock,classic,70,1,rock
0.182,136.094,0.349,-13.507,0.178,0.031,0.0152,0.92,0.143,191973.0,Unforgettable,Nat King Cole,jazz,classic,69,1,calm
